transliteration,normalization,sign_names,remarks
{d}Lamma-igi-du,Lammarpalil[]PN,AN KAL IGI DU,
{d}Lamma-lugal,Lammarlugalak[]DN,AN KAL LUGAL,
{d}Lamma-mu,Lammarŋu[]PN,AN KAL MU,
{d}Lamma-palil₂,Lammarpalil[]DN,AN KAL IGI EŠ₂ DU ERIN₂,
{d}Li₉-si₄,Lisin[]DN,AN NE SI@G,
{d}Lu₂-lal₃,Lulal[]DN,AN LU₂ |TA×HI|,
{d}Lu₂-sa₆,Lusaga[]PN,AN LU₂ ŠA₆,
{d}Lugal-Er₃-ra,LugalErra[]DN,AN LUGAL ARAD RA,
{d}Lugal-Gu₂-du₈-a,LugalGuduʾak[]DN,AN LUGAL GU₂ DUH A,
{d}Lugal-Gu₂-du₈-a{ki},LugalGuduʾak[]DN,AN LUGAL GU₂ DUH A KI,
{d}Lugal-Mar₂-da{ki},LugalMaradak[]DN,AN LUGAL AMAR DA KI,
{d}Lugal-NI.RA,{d}Lugal.NI.RA[]DN,AN LUGAL NI RA,ass'd with Meslamtaʾeʾa; AUCT 2 368 r 1 (copy/photo); STA 31 o 3 (copy)
{d}Lugal-banda₃,Lugalbanda[]DN,AN LUGAL TUR,
{d}Lugal-banda₃{da},Lugalbanda[]DN,AN LUGAL TUR DA,
{d}Lugal-dar-du-du ,Lugalengardudu[]DN,AN LUGAL DAR DU DU,MVN 03 228 o 10 (copy/photo)
{d}Lugal-engar-du-du,Lugalengardudu[]DN,AN LUGAL APIN DU DU,
{d}Lugal-gu₄-a₂-nun-gi,{d}Lugal.gud.a₂.nun.GI[]DN,AN LUGAL GUD A₂ NUN GI,MVN 13 522 o 9 (copy/photo)
{d}Lugal-gu₄-si-su,Lugalgudsisu[]DN,AN LUGAL GUD SI SU,
{d}Lugal-hur-sag,Lugalhursaŋ[]DN,AN LUGAL |HI×AŠ₂| SAG,
{d}Lugal-ku₃-zu,Lugalkugzu[]DN,AN LUGAL KU₃ ZU,
{d}Lugal-mar₂-da,LugalMaradak[]DN,AN LUGAL AMAR DA,
{d}Lugal-ni-ra,{d}Lugal.NI.RA[]DN,AN LUGAL NI RA,
{d}Lugal-nita-zi,Lugalnitazid[]DN,AN LUGAL UŠ ZI,
{d}Lugal-u₄-da,Lugaludak[]DN,AN LUGAL UD DA,
{d}Lugal-uru-sag,Lugalirisaŋak[]DN,AN LUGAL URU SAG,
{d}Lugal-us₂-zi,Lugalnitazid[]DN,AN LUGAL UŠ ZI,
{d}Ma-al-ku-um-še₃,Malkum[]DN,AN MA AL KU UM EŠ₂,
{d}Ma-al-kum-ma,Malkum[]DN,AN MA AL GUM MA,
{d}Mar-tu,Martu[]DN,AN MAR TU,
{d}Me-ki-gal₂,Mekiŋal[]DN,AN ME KI IG,Mekiŋalak?; part of PD month-name 11
{d}Me-ki-gal₂-še₃,Mekiŋal[]DN,AN ME KI IG EŠ₂,
{d}Me-ki-gal₂-e,Mekiŋal[]DN,AN ME KI IG E,
{d}Me-me-sa₆-ga,Memesaga[]PN,AN ME ME ŠA₆ GA,
{d}Mer₂-ra-bi₂,Merrabi[]PN,AN IM RA NE,Werrabi?
{d}Mes-lam-ta-e₃,Meslamtaʾeʾa[]DN,AN MES LAM TA UD DU,
{d}Mes-lam-ta-e₃-a,Meslamtaʾeʾa[]DN,AN MES LAM TA UD DU A,
{d}Mes-lam-ta-e₃-a-ha-zi,Meslamtaʾeʾa[]DN,AN MES LAM TA UD DU A HA ZI,uncertain (ha-zi is epithet?); 3 PD citations
{d}Mes-nun-sa₆-ag₂,Mesnunsagaŋ[]DN,AN MES NUN ŠA₆ |NINDA₂×NE|,
