id_text,source,target,Type,ancient_author,recipient,dossier,senderloc,sender_title
P334904,Ṭab-ṣil-Ešarra,Ṣululu,undirected,Ṭab-ṣil-Ešarra,Sargon II,SAA01.04.01.b,Ashur,LÚGAR.KUR ŠÀ-URU
P334904,Ṭab-ṣil-Ešarra,Šarru,undirected,Ṭab-ṣil-Ešarra,Sargon II,SAA01.04.01.b,Ashur,LÚGAR.KUR ŠÀ-URU
P334904,Ṣululu,Šarru,undirected,Ṭab-ṣil-Ešarra,Sargon II,SAA01.04.01.b,Ashur,LÚGAR.KUR ŠÀ-URU
P334904,Ṣululu,Ṭab-ṣil-Ešarra,undirected,Ṭab-ṣil-Ešarra,Sargon II,SAA01.04.01.b,Ashur,LÚGAR.KUR ŠÀ-URU
P334397,Aššur-bani,Kiṣir-Aššur,undirected,Aššur-bani,Sargon II,SAA01.05.02.c,Calah,LÚGAR.KUR URUkal-hu
P334397,Kiṣir-Aššur,Aššur-bani,undirected,Aššur-bani,Sargon II,SAA01.05.02.c,Calah,LÚGAR.KUR URUkal-hu
P313447,Šarru,Ṭab-šar-Aššur,undirected,Ṭab-šar-Aššur,Sargon II,SAA01.03.01.a,Royal Court,LÚIGI.DUB GAL-u
P313447,Ṭab-šar-Aššur,Šarru,undirected,Ṭab-šar-Aššur,Sargon II,SAA01.03.01.a,Royal Court,LÚIGI.DUB GAL-u
P313462,Taklak-ana-Bel,Išmanni-Aššur,undirected,(unknown),Sargon II,SAA05.12.10.c,Northeastern Assyria,
P313462,Taklak-ana-Bel,Nergal-eṭir,undirected,(unknown),Sargon II,SAA05.12.10.c,Northeastern Assyria,
P313462,Išmanni-Aššur,Nergal-eṭir,undirected,(unknown),Sargon II,SAA05.12.10.c,Northeastern Assyria,
P313462,Išmanni-Aššur,Taklak-ana-Bel,undirected,(unknown),Sargon II,SAA05.12.10.c,Northeastern Assyria,
P313462,Nergal-eṭir,Taklak-ana-Bel,undirected,(unknown),Sargon II,SAA05.12.10.c,Northeastern Assyria,
P313462,Nergal-eṭir,Išmanni-Aššur,undirected,(unknown),Sargon II,SAA05.12.10.c,Northeastern Assyria,
P334609,Aššur-belu-taqqin,Marduk-apla-iddina,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Aššur-belu-taqqin,Ina-qibi-Bel-abluṭ,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Aššur-belu-taqqin,Nabu-hamatua,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Marduk-apla-iddina,Ina-qibi-Bel-abluṭ,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Marduk-apla-iddina,Nabu-hamatua,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Marduk-apla-iddina,Aššur-belu-taqqin,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Ina-qibi-Bel-abluṭ,Nabu-hamatua,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Ina-qibi-Bel-abluṭ,Aššur-belu-taqqin,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Ina-qibi-Bel-abluṭ,Marduk-apla-iddina,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Nabu-hamatua,Aššur-belu-taqqin,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Nabu-hamatua,Marduk-apla-iddina,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P334609,Nabu-hamatua,Ina-qibi-Bel-abluṭ,undirected,Aššur-belu-taqqin,Sargon II,SAA15.06.02.c,Northern Babylonia,
P313511,Bel-iqbi,Aššur-ašared,undirected,(unknown),Sargon II,SAA01.14.01.c,Western Assyria,
P313511,Aššur-ašared,Bel-iqbi,undirected,(unknown),Sargon II,SAA01.14.01.c,Western Assyria,
P334113,Ina-šar-Bel-allak,Kina,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Ina-šar-Bel-allak,Sanda-pi,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Ina-šar-Bel-allak,Huli,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Ina-šar-Bel-allak,Kuza,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Ina-šar-Bel-allak,Ahu-lurši,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Ina-šar-Bel-allak,Ubru-Babili,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kina,Sanda-pi,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kina,Huli,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kina,Kuza,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kina,Ahu-lurši,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kina,Ubru-Babili,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kina,Ina-šar-Bel-allak,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Sanda-pi,Huli,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Sanda-pi,Kuza,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Sanda-pi,Ahu-lurši,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Sanda-pi,Ubru-Babili,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Sanda-pi,Ina-šar-Bel-allak,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Sanda-pi,Kina,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Huli,Kuza,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Huli,Ahu-lurši,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Huli,Ubru-Babili,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Huli,Ina-šar-Bel-allak,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Huli,Kina,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Huli,Sanda-pi,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kuza,Ahu-lurši,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kuza,Ubru-Babili,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kuza,Ina-šar-Bel-allak,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kuza,Kina,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
P334113,Kuza,Sanda-pi,undirected,Ina-šar-Bel-allak,Sargon II,SAA01.06.02.a,Dur-Sharruken,LÚ*IGI.DUB ša URUBÀD-MAN-GIN
